[198/500] train loss=0.015701, nmse(dB)=-13.7272 | val loss=0.019113, nmse(dB)=-13.1709 | 0.7s
[199/500] train loss=0.015807, nmse(dB)=-13.6974 | val loss=0.019064, nmse(dB)=-13.2190 | 0.7s
[200/500] train loss=0.015676, nmse(dB)=-13.7440 | val loss=0.019092, nmse(dB)=-13.1949 | 0.7s
[201/500] train loss=0.015606, nmse(dB)=-13.7800 | val loss=0.019033, nmse(dB)=-13.2252 | 0.7s
[202/500] train loss=0.015638, nmse(dB)=-13.7656 | val loss=0.019056, nmse(dB)=-13.2084 | 0.7s
[203/500] train loss=0.015628, nmse(dB)=-13.7411 | val loss=0.018975, nmse(dB)=-13.2582 | 0.7s
[204/500] train loss=0.015572, nmse(dB)=-13.7631 | val loss=0.019129, nmse(dB)=-13.1744 | 0.7s
[205/500] train loss=0.015700, nmse(dB)=-13.7487 | val loss=0.018960, nmse(dB)=-13.2484 | 0.7s
[206/500] train loss=0.015633, nmse(dB)=-13.7728 | val loss=0.019105, nmse(dB)=-13.2031 | 0.7s
[207/500] train loss=0.015671, nmse(dB)=-13.7475 | val loss=0.018967, nmse(dB)=-13.2496 | 0.7s
[208/500] train loss=0.015577, nmse(dB)=-13.7621 | val loss=0.019025, nmse(dB)=-13.2298 | 0.7s
[209/500] train loss=0.015549, nmse(dB)=-13.7694 | val loss=0.019132, nmse(dB)=-13.1693 | 0.7s
[210/500] train loss=0.015488, nmse(dB)=-13.7920 | val loss=0.018999, nmse(dB)=-13.2312 | 0.7s
[211/500] train loss=0.015519, nmse(dB)=-13.7646 | val loss=0.019137, nmse(dB)=-13.1795 | 0.7s
[212/500] train loss=0.015465, nmse(dB)=-13.8034 | val loss=0.019052, nmse(dB)=-13.2125 | 0.7s
[213/500] train loss=0.015384, nmse(dB)=-13.8124 | val loss=0.019168, nmse(dB)=-13.1529 | 0.7s
[214/500] train loss=0.015483, nmse(dB)=-13.7774 | val loss=0.019250, nmse(dB)=-13.1556 | 0.7s
[215/500] train loss=0.015455, nmse(dB)=-13.7997 | val loss=0.019061, nmse(dB)=-13.2153 | 0.7s
[216/500] train loss=0.015381, nmse(dB)=-13.8173 | val loss=0.019122, nmse(dB)=-13.1924 | 0.7s
[217/500] train loss=0.015484, nmse(dB)=-13.7723 | val loss=0.019085, nmse(dB)=-13.2004 | 0.7s
[218/500] train loss=0.015399, nmse(dB)=-13.7923 | val loss=0.019047, nmse(dB)=-13.2446 | 0.7s
[219/500] train loss=0.015353, nmse(dB)=-13.7931 | val loss=0.018986, nmse(dB)=-13.2454 | 0.7s
[220/500] train loss=0.015387, nmse(dB)=-13.7974 | val loss=0.019108, nmse(dB)=-13.1915 | 0.7s
[221/500] train loss=0.015293, nmse(dB)=-13.8219 | val loss=0.018943, nmse(dB)=-13.2567 | 0.7s
[222/500] train loss=0.015327, nmse(dB)=-13.8041 | val loss=0.019121, nmse(dB)=-13.1998 | 0.7s
[223/500] train loss=0.015369, nmse(dB)=-13.8179 | val loss=0.018955, nmse(dB)=-13.2562 | 0.7s
[224/500] train loss=0.015295, nmse(dB)=-13.8203 | val loss=0.019201, nmse(dB)=-13.1552 | 0.7s
[225/500] train loss=0.015245, nmse(dB)=-13.8405 | val loss=0.019094, nmse(dB)=-13.1987 | 0.7s
[226/500] train loss=0.015151, nmse(dB)=-13.8490 | val loss=0.018971, nmse(dB)=-13.2418 | 0.7s
[227/500] train loss=0.015338, nmse(dB)=-13.7967 | val loss=0.019090, nmse(dB)=-13.2057 | 0.7s
