[202/500] train loss=0.015859, nmse(dB)=-13.9491 | val loss=0.016287, nmse(dB)=-13.8007 | 13.2s
[203/500] train loss=0.015958, nmse(dB)=-13.9406 | val loss=0.016362, nmse(dB)=-13.7903 | 13.4s
[204/500] train loss=0.015865, nmse(dB)=-13.9584 | val loss=0.016364, nmse(dB)=-13.8025 | 13.9s
[205/500] train loss=0.015843, nmse(dB)=-13.9629 | val loss=0.016336, nmse(dB)=-13.8049 | 13.6s
[206/500] train loss=0.015891, nmse(dB)=-13.9511 | val loss=0.016412, nmse(dB)=-13.7910 | 13.1s
[207/500] train loss=0.015888, nmse(dB)=-13.9511 | val loss=0.016289, nmse(dB)=-13.7983 | 13.3s
[208/500] train loss=0.015859, nmse(dB)=-13.9606 | val loss=0.016374, nmse(dB)=-13.8018 | 13.3s
[209/500] train loss=0.015869, nmse(dB)=-13.9511 | val loss=0.016288, nmse(dB)=-13.8071 | 13.4s
[210/500] train loss=0.015901, nmse(dB)=-13.9504 | val loss=0.016367, nmse(dB)=-13.8041 | 13.2s
[211/500] train loss=0.015836, nmse(dB)=-13.9599 | val loss=0.016314, nmse(dB)=-13.8028 | 13.1s
[212/500] train loss=0.015844, nmse(dB)=-13.9594 | val loss=0.016368, nmse(dB)=-13.7998 | 13.7s
[213/500] train loss=0.015862, nmse(dB)=-13.9495 | val loss=0.016384, nmse(dB)=-13.7857 | 13.3s
[214/500] train loss=0.015842, nmse(dB)=-13.9549 | val loss=0.016342, nmse(dB)=-13.8061 | 13.4s
[215/500] train loss=0.015856, nmse(dB)=-13.9548 | val loss=0.016368, nmse(dB)=-13.7880 | 13.3s
[216/500] train loss=0.015856, nmse(dB)=-13.9529 | val loss=0.016363, nmse(dB)=-13.7971 | 13.5s
[217/500] train loss=0.015882, nmse(dB)=-13.9536 | val loss=0.016350, nmse(dB)=-13.7949 | 13.3s
[218/500] train loss=0.015862, nmse(dB)=-13.9569 | val loss=0.016365, nmse(dB)=-13.7945 | 13.2s
[219/500] train loss=0.015832, nmse(dB)=-13.9570 | val loss=0.016328, nmse(dB)=-13.7990 | 13.1s
[220/500] train loss=0.015864, nmse(dB)=-13.9577 | val loss=0.016378, nmse(dB)=-13.7983 | 13.3s
[221/500] train loss=0.015856, nmse(dB)=-13.9493 | val loss=0.016414, nmse(dB)=-13.8070 | 13.3s
[222/500] train loss=0.015802, nmse(dB)=-13.9698 | val loss=0.016439, nmse(dB)=-13.8014 | 13.7s
